Data source record id	NCBI tax id	BioSample	BioProject	Data source organism name	NCBI scientific name	RDP taxa	Data source lineage	NCBI taxonomic lineage	RDP taxonomic lineage	basecount	16S gene count	23S gene count	tRNA gene count	Curator	Evidence	Note	References	rrnDB version
GCF_000304375.1	1211776	SAMEA2271917	PRJNA224116	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	Campylobacter (genus)			Bacteria|domain; Campylobacterota|phylum; Campylobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000304415.1	1230587	SAMEA2272434	PRJNA224116	Sinorhizobium meliloti Rm41	Sinorhizobium meliloti Rm41	Ensifer (genus)			Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Hyphomicrobiales|order; Rhizobiaceae|family; Ensifer|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000304455.1	1231626	SAMEA2272294	PRJNA224116	Cardinium endosymbiont cEper1 of Encarsia pergandiella	Cardinium endosymbiont cEper1 of Encarsia pergandiella	Bacteroidota (phylum)			Bacteria|domain; Bacteroidota|phylum		1				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000304495.1	1071759	SAMEA2272525	PRJNA224116	Chlamydia trachomatis E/SW3	Chlamydia trachomatis E/SW3	Chlamydia (genus)			Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000304515.1	1071762	SAMEA2272343	PRJNA224116	Chlamydia trachomatis F/SW4	Chlamydia trachomatis F/SW4	Chlamydia (genus)			Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000304535.1	1071763	SAMEA2272682	PRJNA224116	Chlamydia trachomatis F/SW5	Chlamydia trachomatis F/SW5	Chlamydia (genus)			Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000305775.1	1147129	SAMN02604247	PRJNA224116	Dehalobacter sp. DCA	Dehalobacter sp. DCA	Dehalobacter (genus)			Bacteria|domain; Bacillota|phylum; Clostridia|class; Eubacteriales|order; Peptococcaceae|family; Dehalobacter|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000305785.2	1117647	SAMN02603035	PRJNA224116	Simiduia agarivorans SA1 = DSM 21679	Simiduia agarivorans SA1 = DSM 21679	Simiduia (genus)			Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Cellvibrionales|order; Cellvibrionaceae|family; Simiduia|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000305815.1	1131462	SAMN01141377	PRJNA224116	Dehalobacter sp. CF	Dehalobacter sp. CF	Dehalobacter (genus)			Bacteria|domain; Bacillota|phylum; Clostridia|class; Eubacteriales|order; Peptococcaceae|family; Dehalobacter|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000305935.1	1089553	SAMN02603274	PRJNA224116	Thermacetogenium phaeum DSM 12270	Thermacetogenium phaeum DSM 12270	Thermacetogenium (genus)			Bacteria|domain; Bacillota|phylum; Clostridia|class; Thermoanaerobacterales|order; Thermoanaerobacteraceae|family; Thermacetogenium|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306675.2	1192864	SAMN02436412	PRJNA224116	Leptospira mayottensis 200901116	Leptospira mayottensis 200901116	Leptospira (genus)			Bacteria|domain; Spirochaetota|phylum; Spirochaetia|class; Leptospirales|order; Leptospiraceae|family; Leptospira|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306745.1	527021	SAMN02603279	PRJNA224116	Bacillus thuringiensis Bt407	Bacillus thuringiensis Bt407	Bacillus (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Bacillaceae|family; Bacillus|genus		14				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306765.2	523841	SAMN02603397	PRJNA224116	Haloferax mediterranei ATCC 33500	Haloferax mediterranei ATCC 33500	Haloferax (genus)			Archaea|domain; Euryarchaeota|phylum; Halobacteria|class; Haloferacales|order; Haloferacaceae|family; Haloferax|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306785.1	2732864	SAMEA2272685	PRJNA224116	Modestobacter italicus	Modestobacter italicus	Modestobacter (genus)			Bacteria|domain; Actinomycetota|phylum; Actinobacteria|class; Geodermatophilales|order; Geodermatophilaceae|family; Modestobacter|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306805.1	591365	SAMD00060960	PRJNA224116	Streptococcus intermedius JTH08	Streptococcus intermedius JTH08	Streptococcus (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Streptococcus|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306825.1	996634	SAMD00012381	PRJNA224116	Corynebacterium ulcerans 0102	Corynebacterium ulcerans 0102	Corynebacterium (genus)			Bacteria|domain; Actinomycetota|phylum; Actinobacteria|class; Mycobacteriales|order; Corynebacteriaceae|family; Corynebacterium|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306845.1	91891	SAMEA3138424	PRJNA224116	Legionella pneumophila subsp. pneumophila	Legionella pneumophila subsp. pneumophila	Legionella (genus)			Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Legionellales|order; Legionellaceae|family; Legionella|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306865.1	91891	SAMEA3138425	PRJNA224116	Legionella pneumophila subsp. pneumophila	Legionella pneumophila subsp. pneumophila	Legionella (genus)			Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Legionellales|order; Legionellaceae|family; Legionella|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306885.1	100901	SAMEA2272360	PRJNA224116	Wolbachia endosymbiont of Onchocerca ochengi	Wolbachia endosymbiont of Onchocerca ochengi	Anaplasma (genus)			Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Rickettsiales|order; Anaplasmataceae|family; Anaplasma|genus		1				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306905.1	879089	SAMEA2272785	PRJNA224116	Listeria monocytogenes SLCC2540	Listeria monocytogenes SLCC2540	Listeria (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Listeriaceae|family; Listeria|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306945.1	568706	SAMEA2272749	PRJNA224116	Bordetella pertussis 18323	Bordetella pertussis 18323	Bordetella (genus)			Bacteria|domain; Pseudomonadota|phylum; Betaproteobacteria|class; Burkholderiales|order; Alcaligenaceae|family; Bordetella|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000306985.1	879090	SAMEA2272571	PRJNA224116	Listeria monocytogenes SLCC7179	Listeria monocytogenes SLCC7179	Listeria (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Listeriaceae|family; Listeria|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307005.1	882020	SAMEA2272506	PRJNA224116	Listeria monocytogenes SLCC2479	Listeria monocytogenes SLCC2479	Listeria (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Listeriaceae|family; Listeria|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307025.1	882095	SAMEA2271997	PRJNA224116	Listeria monocytogenes ATCC 19117	Listeria monocytogenes ATCC 19117	Listeria (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Listeriaceae|family; Listeria|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307045.1	882096	SAMEA2272672	PRJNA224116	Listeria monocytogenes SLCC5850	Listeria monocytogenes SLCC5850	Listeria (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Listeriaceae|family; Listeria|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307065.1	882097	SAMEA2272177	PRJNA224116	Listeria monocytogenes SLCC2376	Listeria monocytogenes SLCC2376	Listeria (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Listeriaceae|family; Listeria|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307085.1	882094	SAMEA2272305	PRJNA224116	Listeria monocytogenes L312	Listeria monocytogenes L312	Listeria (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Listeriaceae|family; Listeria|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307105.1	651182	SAMEA2272293	PRJNA224116	Desulfobacula toluolica Tol2	Desulfobacula toluolica Tol2	Desulfobacula (genus)			Bacteria|domain; Pseudomonadota|phylum; Deltaproteobacteria|class; Desulfobacterales|order; Desulfobacteraceae|family; Desulfobacula|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307165.1	698758	SAMD00061112	PRJNA224116	Amphibacillus xylanus NBRC 15112	Amphibacillus xylanus NBRC 15112	Amphibacillus (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Bacillaceae|family; Amphibacillus|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307185.1	617121	SAMD00060962	PRJNA224116	Streptococcus dysgalactiae subsp. equisimilis RE378	Streptococcus dysgalactiae subsp. equisimilis RE378	Streptococcus (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Streptococcus|genus		5				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307535.1	1235829	SAMN02603640	PRJNA224116	Streptococcus pyogenes A20	Streptococcus pyogenes A20	Streptococcus (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Streptococcus|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307615.1	879088	SAMEA2272689	PRJNA224116	Listeria monocytogenes SLCC2378	Listeria monocytogenes SLCC2378	Listeria (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Listeriaceae|family; Listeria|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307795.1	85962	SAMN02603761	PRJNA224116	Helicobacter pylori 26695	Helicobacter pylori 26695	Helicobacter (genus)			Bacteria|domain; Campylobacterota|phylum; Campylobacteria|class; Campylobacterales|order; Helicobacteraceae|family; Helicobacter|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307815.1	1234365	SAMN02603762	PRJNA224116	Helicobacter pylori Rif1	Helicobacter pylori Rif1	Helicobacter (genus)			Bacteria|domain; Campylobacterota|phylum; Campylobacteria|class; Campylobacterales|order; Helicobacteraceae|family; Helicobacter|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000307835.1	1234600	SAMN02603763	PRJNA224116	Helicobacter pylori Rif2	Helicobacter pylori Rif2	Helicobacter (genus)			Bacteria|domain; Campylobacterota|phylum; Campylobacteria|class; Campylobacterales|order; Helicobacteraceae|family; Helicobacter|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000309885.1	751945	SAMN02261408	PRJNA224116	Thermus oshimai JL-2	Thermus oshimai JL-2	Thermus (genus)			Bacteria|domain; Deinococcota|phylum; Deinococci|class; Thermales|order; Thermaceae|family; Thermus|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000310065.1	1171373	SAMN02603885	PRJNA224116	Acidipropionibacterium acidipropionici ATCC 4875	Acidipropionibacterium acidipropionici ATCC 4875	Acidipropionibacterium (genus)			Bacteria|domain; Actinomycetota|phylum; Actinobacteria|class; Propionibacteriales|order; Propionibacteriaceae|family; Acidipropionibacterium|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000310085.1	1004786	SAMN02604119	PRJNA224116	Alteromonas mediterranea DE1	Alteromonas mediterranea DE1	Alteromonas (genus)			Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Alteromonadales|order; Alteromonadaceae|family; Alteromonas|genus		5				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000310105.2	283699	SAMN02470817	PRJNA224116	Pseudoalteromonas sp. Bsw20308	Pseudoalteromonas sp. Bsw20308	Pseudoalteromonas (genus)			Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Alteromonadales|order; Pseudoalteromonadaceae|family; Pseudoalteromonas|genus		8				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000312685.1	1111678	SAMN02604113	PRJNA224116	Lactococcus cremoris subsp. cremoris UC509.9	Lactococcus cremoris subsp. cremoris UC509.9	Lactococcus (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Lactococcus|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000312705.1	46234	SAMN02604187	PRJNA224116	Anabaena sp. 90	Anabaena sp. 90	Dolichospermum (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Nostocales|order; Aphanizomenonaceae|family; Dolichospermum|genus		5				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000313175.2	758847	SAMN02470123	PRJNA224116	Leptospira santarosai serovar Shermani str. LT 821	Leptospira santarosai serovar Shermani str. LT 821	Leptospira (genus)			Bacteria|domain; Spirochaetota|phylum; Spirochaetia|class; Leptospirales|order; Leptospiraceae|family; Leptospira|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000313385.1	1232394	SAMN02603045	PRJNA224116	Francisella tularensis subsp. holarctica F92	Francisella tularensis subsp. holarctica F92	Francisella (genus)			Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Thiotrichales|order; Francisellaceae|family; Francisella|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000313635.1	1118964	SAMN02603597	PRJNA224116	Mesomycoplasma hyorhinis SK76	Mesomycoplasma hyorhinis SK76	Mesomycoplasma (genus)			Bacteria|domain; Mycoplasmatota|phylum; Mollicutes|class; Mycoplasmoidales|order; Metamycoplasmataceae|family; Mesomycoplasma|genus		1				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000315955.1	1055531	SAMN02604323	PRJNA224116	Helicobacter pylori Aklavik117	Helicobacter pylori Aklavik117	Helicobacter (genus)			Bacteria|domain; Campylobacterota|phylum; Campylobacteria|class; Campylobacterales|order; Helicobacteraceae|family; Helicobacter|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000316175.1	1207075	SAMN02604261	PRJNA224116	Pseudomonas sp. UW4	Pseudomonas sp. UW4	Pseudomonas (genus)			Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus		7				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000316515.1	292564	SAMN02261330	PRJNA224116	Cyanobium gracile PCC 6307	Cyanobium gracile PCC 6307	Cyanobium (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Synechococcales|order; Synechococcaceae|family; Cyanobium|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000316575.1	99598	SAMN02261328	PRJNA224116	Calothrix sp. PCC 7507	Calothrix sp. PCC 7507	Nostocaceae (family)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Nostocales|order; Nostocaceae|family		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000316605.1	111781	SAMN02232033	PRJNA224116	[Leptolyngbya] sp. PCC 7376	[Leptolyngbya] sp. PCC 7376	Synechococcus (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Synechococcales|order; Synechococcaceae|family; Synechococcus|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000316625.1	317936	SAMN02261332	PRJNA224116	Nostoc sp. PCC 7107	Nostoc sp. PCC 7107	Nostocaceae (family)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Nostocales|order; Nostocaceae|family		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000316645.1	28072	SAMN02261333	PRJNA224116	Nostoc sp. PCC 7524	Nostoc sp. PCC 7524	Pseudoaliinostoc (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Nostocales|order; Nostocaceae|family; Pseudoaliinostoc|genus		5				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000316665.1	373994	SAMN02232049	PRJNA224116	Rivularia sp. PCC 7116	Rivularia sp. PCC 7116	Nunduva (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Nostocales|order; Rivulariaceae|family; Nunduva|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000316685.1	195253	SAMN02261337	PRJNA224116	Synechococcus sp. PCC 6312	Synechococcus sp. PCC 6312	Cyanophyceae (class)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class		1				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317025.1	118163	SAMN02261346	PRJNA224116	Pleurocapsa sp. PCC 7327	Pleurocapsa sp. PCC 7327	Cyanophyceae (class)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317045.1	1173025	SAMN02261348	PRJNA224116	Geitlerinema sp. PCC 7407	Geitlerinema sp. PCC 7407	Cyanophyceae (class)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317065.1	82654	SAMN02261336	PRJNA224116	Pseudanabaena sp. PCC 7367	Pseudanabaena sp. PCC 7367	Thalassoporum (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Synechococcales|order; Pseudanabaenaceae|family; Thalassoporum|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317085.1	1173263	SAMN02261356	PRJNA224116	Synechococcus sp. PCC 7502	Synechococcus sp. PCC 7502	Pseudanabaena (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Synechococcales|order; Pseudanabaenaceae|family; Pseudanabaena|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317105.1	56110	SAMN02261334	PRJNA224116	Oscillatoria acuminata PCC 6304	Oscillatoria acuminata PCC 6304	Laspinema (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Oscillatoriales|order; Laspinemataceae|family; Laspinema|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317125.1	251229	SAMN02261359	PRJNA224116	Chroococcidiopsis thermalis PCC 7203	Chroococcidiopsis thermalis PCC 7203	Chroococcidiopsis (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Chroococcidiopsidales|order; Chroococcidiopsidaceae|family; Chroococcidiopsis|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317305.3	700508	SAMN02641502	PRJNA224116	Mycolicibacterium neoaurum VKM Ac-1815D	Mycolicibacterium neoaurum VKM Ac-1815D	Mycobacterium (genus)			Bacteria|domain; Actinomycetota|phylum; Actinobacteria|class; Mycobacteriales|order; Mycobacteriaceae|family; Mycobacterium|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317435.1	1170562	SAMN02261327	PRJNA224116	Calothrix sp. PCC 6303	Calothrix sp. PCC 6303	Fulbrightiella (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Nostocales|order; Calotrichaceae|family; Fulbrightiella|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317475.1	179408	SAMN02261335	PRJNA224116	Oscillatoria nigro-viridis PCC 7112	Oscillatoria nigro-viridis PCC 7112	Microcoleusiopsis (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Oscillatoriales|order; Microcoleaceae|family; Microcoleusiopsis|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317495.1	1173022	SAMN02261349	PRJNA224116	Crinalium epipsammum PCC 9333	Crinalium epipsammum PCC 9333	Crinalium (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Gomontiellales|order; Gomontiellaceae|family; Crinalium|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317515.1	1173027	SAMN02261351	PRJNA224116	Allocoleopsis franciscana PCC 7113	Allocoleopsis franciscana PCC 7113	Allocoleopsis (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Coleofasciculales|order; Coleofasciculaceae|family; Allocoleopsis|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317555.1	1173026	SAMN02261347	PRJNA224116	Gloeocapsa sp. PCC 7428	Gloeocapsa sp. PCC 7428	Cyanophyceae (class)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317575.1	111780	SAMN02261352	PRJNA224116	Stanieria cyanosphaera PCC 7437	Stanieria cyanosphaera PCC 7437	Cyanophyceae (class)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317615.1	13035	SAMN02261331	PRJNA224116	Dactylococcopsis salina PCC 8305	Dactylococcopsis salina PCC 8305	Euhalothece (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Chroococcales|order; Aphanothecaceae|family; Euhalothece|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317635.1	65093	SAMN02232029	PRJNA224116	Halothece sp. PCC 7418	Halothece sp. PCC 7418	Euhalothece (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Chroococcales|order; Aphanothecaceae|family; Euhalothece|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317675.1	755178	SAMN02261329	PRJNA224116	Cyanobacterium aponinum PCC 10605	Cyanobacterium aponinum PCC 10605	Geminocystis (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Chroococcales|order; Geminocystaceae|family; Geminocystis|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317695.1	272123	SAMN02232008	PRJNA224116	Anabaena cylindrica PCC 7122	Anabaena cylindrica PCC 7122	Anabaena (genus)			Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Nostocales|order; Aphanizomenonaceae|family; Anabaena|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317795.1	1056495	SAMN02261426	PRJNA224116	Caldisphaera lagunensis DSM 15908	Caldisphaera lagunensis DSM 15908	Caldisphaera (genus)			Archaea|domain; Thermoproteota|phylum; Thermoprotei|class; Acidilobales|order; Caldisphaeraceae|family; Caldisphaera|genus		1				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317835.1	937777	SAMN02261392	PRJNA224116	Deinococcus peraridilitoris DSM 19664	Deinococcus peraridilitoris DSM 19664	Deinococcus (genus)			Bacteria|domain; Deinococcota|phylum; Deinococci|class; Deinococcales|order; Deinococcaceae|family; Deinococcus|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317855.1	759913	SAMEA3138428	PRJNA224116	Streptococcus dysgalactiae subsp. equisimilis AC-2713	Streptococcus dysgalactiae subsp. equisimilis AC-2713	Streptococcus (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Streptococcus|genus		5				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317875.1	1055532	SAMN02604324	PRJNA224116	Helicobacter pylori Aklavik86	Helicobacter pylori Aklavik86	Helicobacter (genus)			Bacteria|domain; Campylobacterota|phylum; Campylobacteria|class; Campylobacterales|order; Helicobacteraceae|family; Helicobacter|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317895.1	1069642	SAMN02604232	PRJNA224116	Bdellovibrio bacteriovorus str. Tiberius	Bdellovibrio bacteriovorus str. Tiberius	Bdellovibrio (genus)			Bacteria|domain; Pseudomonadota|phylum; Deltaproteobacteria|class; Bdellovibrionales|order; Bdellovibrionaceae|family; Bdellovibrio|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317915.1	1261557	SAMEA2272087	PRJNA224116	Enterococcus faecalis str. Symbioflor 1	Enterococcus faecalis str. Symbioflor 1	Enterococcus (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Lactobacillales|order; Enterococcaceae|family; Enterococcus|genus		4				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317935.1	1208660	SAMEA2272448	PRJNA224116	Bordetella parapertussis Bpp5	Bordetella parapertussis Bpp5	Bordetella (genus)			Bacteria|domain; Pseudomonadota|phylum; Betaproteobacteria|class; Burkholderiales|order; Alcaligenaceae|family; Bordetella|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317955.1	1208658	SAMEA2272800	PRJNA224116	Bordetella bronchiseptica MO149	Bordetella bronchiseptica MO149	Bordetella (genus)			Bacteria|domain; Pseudomonadota|phylum; Betaproteobacteria|class; Burkholderiales|order; Alcaligenaceae|family; Bordetella|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000317975.2	1234679	SAMEA2272423	PRJNA224116	Carnobacterium maltaromaticum LMA28	Carnobacterium maltaromaticum LMA28	Carnobacterium (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Lactobacillales|order; Carnobacteriaceae|family; Carnobacterium|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000318015.1	568707	SAMEA2272388	PRJNA224116	Bordetella bronchiseptica 253	Bordetella bronchiseptica 253	Bordetella (genus)			Bacteria|domain; Pseudomonadota|phylum; Betaproteobacteria|class; Burkholderiales|order; Alcaligenaceae|family; Bordetella|genus		3				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000318055.1	1230340	SAMEA2272544	PRJNA224116	Listeria monocytogenes serotype 4b str. LL195	Listeria monocytogenes serotype 4b str. LL195	Listeria (genus)			Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Listeriaceae|family; Listeria|genus		6				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000318525.1	1071753	SAMEA2272666	PRJNA224116	Chlamydia trachomatis A/363	Chlamydia trachomatis A/363	Chlamydia (genus)			Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000318565.1	1071755	SAMEA2272774	PRJNA224116	Chlamydia trachomatis A/7249	Chlamydia trachomatis A/7249	Chlamydia (genus)			Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
GCF_000318645.1	596777	SAMEA2272184	PRJNA224116	Chlamydia trachomatis E/Bour	Chlamydia trachomatis E/Bour	Chlamydia (genus)			Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus		2				Machine processing of NCBI genome assembly data.			"""5.10"""
